"x"
"1"	"Conohyus sindiensis"
"2"	"Lufengpithecus lufengensis"
"3"	"Hipparion depereti"
"4"	"Neodolodus colombianus"
"5"	"Atopotarus courseni"
"6"	"Pinocetus polonicus"
"7"	"Sachalinocetus cholmicus"
"8"	"Praekogia cedrosensis"
"9"	"Cozzuoliphyseter rionegrensis"
"10"	"Desmostylus hesperus"
"11"	"Mixocetus elysius"
"12"	"Allodesmus kernensis"
"13"	"Metaxytherium crataegense"
"14"	"Thinocetus arthritus"
"15"	"Halicetus ignotus"
"16"	"Dusisiren reinharti"
"17"	"Dicerorhinus sumatrensis"
"18"	"Indraloris himalayensis"
"19"	"Orycteropus browni"
"20"	"Orycteropus pilgrimi"
"21"	"Hippohyus deterrai"
"22"	"Rhinoceros sivalensis"
"23"	"Xenocardia diversidens"
"24"	"Phugatherium cataclisticum"
"25"	"Proeuphractus limpidus"
"26"	"Promerycochoerus superbus"
"27"	"Promerycochoerus chelydra"
"28"	"Promerycochoerus carrikeri"
"29"	"Mesoreodon minor"
"30"	"Enhydrocyon pahinsintewakpa"
"31"	"Leptauchenia decora"
"32"	"Paramerychyus harrisonensis"
"33"	"Dinohyus hollandi"
"34"	"Megalictis ferox"
"35"	"Paramerychyus relictus"
"36"	"Temnocyon percussor"
"37"	"Desmathyus pinensis"
"38"	"Desmatippus texanus"
"39"	"Entoptychus leptophrys"
"40"	"Merychyus calaminthus"
"41"	"Submerycochoerus bannackensis"
"42"	"Temnocyon macrogenys"
"43"	"Pleurolicus exiguus"
"44"	"Mammacyon ferocior"
"45"	"Fossorcastor fossor"
"46"	"Sanctimus stuartae"
"47"	"Schaubeumys clivosus"
"48"	"Parahippus atavus"
"49"	"Megalictis simplicidens"
"50"	"Pleurolicus sellardsi"
"51"	"Phlaocyon multicuspus"
"52"	"Daphoenodon skinneri"
"53"	"Megalictis frazieri"
"54"	"Daphoenodon neomexicanus"
"55"	"Delotrochanter oryktes"
"56"	"Leptomeryx agatensis"
"57"	"Amphechinus ellicottae"
"58"	"Promartes vantasselensis"
"59"	"Floridictis petersoni"
"60"	"Daphoenodon robustum"
"61"	"Tanymykter longirostris"
"62"	"Zodiolestes daimonelixensis"
"63"	"Archaeohippus penultimus"
"64"	"Paracynarctus kelloggi"
"65"	"Paciculus montanus"
"66"	"Schaubeumys galbreathi"
"67"	"Hibbarderix obfuscatus"
"68"	"Limnoecus compressus"
"69"	"Schaubeumys grangeri"
"70"	"Merychippus missouriensis"
"71"	"Schaubeumys sabrae"
"72"	"Stratimus strobeli"
